species,taxonomicGroup,selected,threatened,commonName,redListStatus,functionalGroup
Mycetoma_suturale,ForestBeetles,FALSE,NA,Mycetoma suturale,NA,NA
Mycetophagus_ater,ForestBeetles,FALSE,NA,Mycetophagus ater,NA,NA
Mycetophagus_decempunctatus,ForestBeetles,TRUE,NA,Mycetophagus decempunctatus,NA,decid
Neatus_picipes,ForestBeetles,FALSE,NA,Neatus picipes,NA,NA
Necydalis_major,ForestBeetles,TRUE,TRUE,Necydalis major,Near threatened,gen
Necydalis_ulmi,ForestBeetles,FALSE,NA,Necydalis ulmi,NA,NA
Nematodes_filum,ForestBeetles,FALSE,NA,Nematodes filum,NA,NA
Nivellia_sanguinosa,ForestBeetles,TRUE,NA,Nivellia sanguinosa,NA,decid
Nothorhina_muricata,ForestBeetles,FALSE,NA,Nothorhina muricata,NA,NA
Olisthaerus_substriatus,ForestBeetles,TRUE,NA,Olisthaerus substriatus,NA,gen
Omoglymmius_germari,ForestBeetles,FALSE,NA,Omoglymmius germari,NA,NA
Orchesia_fasciata,ForestBeetles,TRUE,FALSE,Orchesia fasciata,Least concern,gen
Osmoderma_eremita,ForestBeetles,TRUE,TRUE,Hermit beetle or Russian leather beetle,Critically endangered,decid
Osmoderma_eremita_s.l,ForestBeetles,FALSE,NA,Osmoderma eremita s.l,NA,NA
Osphya_bipunctata,ForestBeetles,TRUE,TRUE,Osphya bipunctata,Endangered,decid
Otho_sphondyloides,ForestBeetles,FALSE,NA,Otho sphondyloides,NA,NA
Oxylaemus_variolosus,ForestBeetles,FALSE,NA,Oxylaemus variolosus,NA,NA
Peltis_grossa,ForestBeetles,TRUE,TRUE,Peltis grossa,Endangered,gen
Philothermus_evanescens,ForestBeetles,FALSE,NA,Philothermus evanescens,NA,NA
Phryganophilus_auritus,ForestBeetles,FALSE,NA,Phryganophilus auritus,NA,NA
Phryganophilus_ruficollis,ForestBeetles,TRUE,TRUE,Phryganophilus ruficollis,Endangered,gen
Phymatura_brevicollis,ForestBeetles,TRUE,NA,Phymatura brevicollis,NA,conif
Platydema_dejeani,ForestBeetles,FALSE,NA,Platydema dejeani,NA,NA
Platylomalus_complanatus,ForestBeetles,FALSE,TRUE,Platylomalus complanatus,Endangered,NA
Platyrhinus_resinosus,ForestBeetles,FALSE,TRUE,Platyrhinus resinosus,Near threatened,NA
Platysoma_deplanatum,ForestBeetles,TRUE,NA,Platysoma deplanatum,NA,gen
Pleganophorus_bispinosus,ForestBeetles,FALSE,NA,Pleganophorus bispinosus,NA,NA
Podeonius_acuticornis,ForestBeetles,FALSE,NA,Podeonius acuticornis,NA,NA
Prionychus_melanarius,ForestBeetles,TRUE,NA,Prionychus melanarius,NA,decid
Prostomis_mandibularis,ForestBeetles,TRUE,NA,Prostomis mandibularis,NA,gen
Protaetia_(Liocola)_marmorata,ForestBeetles,FALSE,TRUE,Protaetia (Liocola) marmorata,Vulnerable,NA
Pycnomerus_terebrans,ForestBeetles,FALSE,NA,Pycnomerus terebrans,NA,NA
Pytho_abieticola,ForestBeetles,TRUE,TRUE,Pytho abieticola,Critically endangered,gen
Pytho_kolwensis,ForestBeetles,TRUE,NA,Pytho kolwensis,NA,gen
Quedius_infuscatus,ForestBeetles,TRUE,NA,Quedius infuscatus,NA,decid
Quedius_truncicola,ForestBeetles,TRUE,NA,Quedius truncicola,NA,decid
Reitterelater_dubius,ForestBeetles,FALSE,NA,Reitterelater dubius,NA,NA
Rhizophagus_brancsiki,ForestBeetles,TRUE,NA,Rhizophagus brancsiki,NA,decid
Rhopalocerus_rondanii,ForestBeetles,FALSE,NA,Rhopalocerus rondanii,NA,NA
Rhyncolus_reflexus,ForestBeetles,FALSE,NA,Rhyncolus reflexus,NA,NA
Rhysodes_sulcatus,ForestBeetles,TRUE,NA,Rhysodes sulcatus,NA,conif
Rosalia_alpina,ForestBeetles,FALSE,NA,Rosalia alpina,NA,NA
Rushia_parreyssi,ForestBeetles,TRUE,NA,Rushia parreyssi,NA,conif
Saperda_punctata,ForestBeetles,FALSE,NA,Saperda punctata,NA,NA
Sepedophilus_binotatus,ForestBeetles,FALSE,NA,Sepedophilus binotatus,NA,NA
Stagetus_borealis,ForestBeetles,TRUE,TRUE,Stagetus borealis,Near threatened,gen
Stenichnus_foveola,ForestBeetles,FALSE,NA,Stenichnus foveola,NA,NA
Stephanopachys_linearis,ForestBeetles,TRUE,NA,Stephanopachys linearis,NA,conif
Stephanopachys_substriatus,ForestBeetles,TRUE,NA,Stephanopachys substriatus,NA,conif
Stictoleptura_erythroptera,ForestBeetles,FALSE,NA,Stictoleptura erythroptera,NA,NA
Stictoleptura_variicornis,ForestBeetles,FALSE,NA,Stictoleptura variicornis,NA,NA
Synchita_separanda,ForestBeetles,TRUE,NA,Synchita separanda,NA,decid
Tachyusida_gracilis,ForestBeetles,TRUE,NA,Tachyusida gracilis,NA,decid
Temnochila_caerulea,ForestBeetles,FALSE,NA,Temnochila caerulea,NA,NA
Tenebrio_opacus,ForestBeetles,TRUE,NA,Tenebrio opacus,NA,decid
Teredus_cylindricus,ForestBeetles,TRUE,NA,Teredus cylindricus,NA,decid
Teredus_opacus,ForestBeetles,FALSE,NA,Teredus opacus,NA,NA
Thambus_friwaldszkyi,ForestBeetles,FALSE,NA,Thambus friwaldszkyi,NA,NA
Thoracophorus_corticinus,ForestBeetles,FALSE,NA,Thoracophorus corticinus,NA,NA
Trachypachus_zetterstedti,ForestBeetles,FALSE,TRUE,Trachypachus zetterstedti,Vulnerable,NA
Tragosoma_depsarium,ForestBeetles,TRUE,TRUE,Tragosoma depsarium,Vulnerable,conif
Trigonurus_mellyi,ForestBeetles,FALSE,NA,Trigonurus mellyi,NA,NA
Triplax_collaris,ForestBeetles,FALSE,NA,Triplax collaris,NA,NA
Triplax_elongata,ForestBeetles,FALSE,NA,Triplax elongata,NA,NA
Triplax_melanocephala,ForestBeetles,FALSE,NA,Triplax melanocephala,NA,NA
Tritoma_subbasalis,ForestBeetles,FALSE,NA,Tritoma subbasalis,NA,NA
Upis_ceramboides,ForestBeetles,TRUE,TRUE,Upis ceramboides,Critically endangered,decid
Xestobium_austracum,ForestBeetles,FALSE,NA,Xestobium austracum,NA,NA
Xestobium_rufovillosum,ForestBeetles,TRUE,FALSE,Deathwatch beetle,Least concern,gen
Xylolaemus_fasciculosus,ForestBeetles,TRUE,NA,Xylolaemus fasciculosus,NA,conif
Xylophilus_testaceus,ForestBeetles,FALSE,NA,Xylophilus testaceus,NA,NA
Arnica_montana,vascularPlants,FALSE,TRUE,Mountain arnica,Endangered,NA
Carex_atrata,vascularPlants,FALSE,FALSE,Black alpine sedge,Least concern,NA
Fraxinus_excelsior,vascularPlants,FALSE,TRUE,European ash,Endangered,NA
Fraxinus_excelsior,vascularPlants,FALSE,TRUE,European ash,Endangered,NA
Juniperus_communis,vascularPlants,FALSE,FALSE,Common juniper,Least concern,NA
Poa_glauca,vascularPlants,FALSE,FALSE,Glaucous bluegrass,Least concern,NA
Ulmus_glabra,vascularPlants,FALSE,TRUE,Scots elm,Endangered,NA
Gaurotes_virginea,longhornBeetles,FALSE,FALSE,Gaurotes virginea,Least concern,gen
Tetropium_castaneum,longhornBeetles,FALSE,FALSE,Brown spruce longhorn beetle,Least concern,gen
Acanthocinus_griseus,ForestBeetles,TRUE,TRUE,Acanthocinus griseus,Endangered,gen
Aesalus_scarabaeoides,ForestBeetles,TRUE,NA,Aesalus scarabaeoides,NA,gen
Allecula_rhenana,ForestBeetles,TRUE,NA,Allecula rhenana,NA,gen
Ampedus_cardinalis,ForestBeetles,TRUE,NA,Ampedus cardinalis,NA,gen
Ampedus_elegantulus,ForestBeetles,TRUE,NA,Ampedus elegantulus,NA,gen
Ampedus_hjorti,ForestBeetles,TRUE,TRUE,Ampedus hjorti,Vulnerable,gen
Anisoxya_fuscula,ForestBeetles,TRUE,TRUE,Anisoxya fuscula,Vulnerable,gen
Anitys_rubens,ForestBeetles,TRUE,NA,Anitys rubens,NA,gen
Bolitochara_lucida,ForestBeetles,TRUE,NA,Bolitochara lucida,NA,gen
Buprestis_splendens,ForestBeetles,TRUE,NA,Buprestis splendens,NA,gen
Calambus_bipustulatus,ForestBeetles,TRUE,TRUE,Calambus bipustulatus,Endangered,gen
Cardiophorus_gramineus,ForestBeetles,TRUE,NA,Cardiophorus gramineus,NA,gen
Cerambyx_cerdo,ForestBeetles,TRUE,NA,Cerambyx cerdo,NA,gen
Colydium_filiforme,ForestBeetles,TRUE,NA,Colydium filiforme,NA,gen
Corticaria_lapponica,ForestBeetles,TRUE,NA,Corticaria lapponica,NA,gen
Corticaria_lateritia,ForestBeetles,TRUE,NA,Corticaria lateritia,NA,gen
Corticeus_fasciatus,ForestBeetles,TRUE,NA,Corticeus fasciatus,NA,gen
Corticeus_suturalis,ForestBeetles,TRUE,NA,Corticeus suturalis,NA,gen
Cryptolestes_abietis,ForestBeetles,TRUE,NA,Cryptolestes abietis,NA,gen
Cryptophagus_quercinus,ForestBeetles,TRUE,NA,Cryptophagus quercinus,NA,gen
Denticollis_borealis,ForestBeetles,TRUE,TRUE,Denticollis borealis,Vulnerable,gen
Dicerca_aenea,ForestBeetles,TRUE,NA,Dicerca aenea,NA,gen
Dicerca_alni,ForestBeetles,TRUE,NA,Dicerca alni,NA,gen
Dicerca_moesta,ForestBeetles,TRUE,TRUE,Dicerca moesta,Vulnerable,gen
Dircaea_australis,ForestBeetles,TRUE,NA,Dircaea australis,NA,gen
Dorcatoma_ambjoerni,ForestBeetles,TRUE,NA,Dorcatoma ambjoerni,NA,gen
Dorcatoma_flavicornis,ForestBeetles,TRUE,TRUE,Dorcatoma flavicornis,Endangered,gen
Dreposcia_umbrina,ForestBeetles,TRUE,NA,Dreposcia umbrina,NA,gen
Elater_ferrugineus,ForestBeetles,TRUE,TRUE,Rusty click beetle,Critically endangered,gen
Eledonoprius_armatus,ForestBeetles,TRUE,NA,Eledonoprius armatus,NA,gen
Enicmus_apicalis,ForestBeetles,TRUE,TRUE,Enicmus apicalis,Vulnerable,gen
Ennearthron_palmi,ForestBeetles,TRUE,NA,Ennearthron palmi,NA,gen
Ernobius_explanatus,ForestBeetles,TRUE,NA,Ernobius explanatus,NA,gen
Euryusa_coarctata,ForestBeetles,TRUE,NA,Euryusa coarctata,NA,gen
Evodinus_borealis,ForestBeetles,TRUE,TRUE,Evodinus borealis,Endangered,gen
Gastrallus_immarginatus,ForestBeetles,TRUE,TRUE,Gastrallus immarginatus,Endangered,gen
Gnorimus_variabilis,ForestBeetles,TRUE,NA,Gnorimus variabilis,NA,gen
Hololepta_plana,ForestBeetles,TRUE,TRUE,Hololepta plana,Near threatened,gen
Hymenophorus_doublieri,ForestBeetles,TRUE,NA,Hymenophorus doublieri,NA,gen
Ischnodes_sanguinicollis,ForestBeetles,TRUE,NA,Ischnodes sanguinicollis,NA,gen
Lacon_querceus,ForestBeetles,TRUE,NA,Lacon querceus,NA,gen
Laemophloeus_muticus,ForestBeetles,TRUE,NA,Laemophloeus muticus,NA,gen
Lasconotus_jelskii,ForestBeetles,TRUE,NA,Lasconotus jelskii,NA,gen
Latridius_brevicollis,ForestBeetles,TRUE,NA,Latridius brevicollis,NA,gen
Melandrya_barbata,ForestBeetles,TRUE,TRUE,Melandrya barbata,Endangered,gen
Melandrya_caraboides,ForestBeetles,TRUE,TRUE,Melandrya caraboides,Vulnerable,gen
Mesosa_curculionoides,ForestBeetles,TRUE,TRUE,Mesosa curculionoides,Endangered,gen
Mycetophagus_decempunctatus,ForestBeetles,TRUE,NA,Mycetophagus decempunctatus,NA,gen
Nivellia_sanguinosa,ForestBeetles,TRUE,NA,Nivellia sanguinosa,NA,gen
Osmoderma_eremita,ForestBeetles,TRUE,TRUE,Hermit beetle or Russian leather beetle,Critically endangered,gen
Osphya_bipunctata,ForestBeetles,TRUE,TRUE,Osphya bipunctata,Endangered,gen
Phymatura_brevicollis,ForestBeetles,TRUE,NA,Phymatura brevicollis,NA,gen
Prionychus_melanarius,ForestBeetles,TRUE,NA,Prionychus melanarius,NA,gen
Quedius_infuscatus,ForestBeetles,TRUE,NA,Quedius infuscatus,NA,gen
Quedius_truncicola,ForestBeetles,TRUE,NA,Quedius truncicola,NA,gen
Rhizophagus_brancsiki,ForestBeetles,TRUE,NA,Rhizophagus brancsiki,NA,gen
Rhysodes_sulcatus,ForestBeetles,TRUE,NA,Rhysodes sulcatus,NA,gen
Rushia_parreyssi,ForestBeetles,TRUE,NA,Rushia parreyssi,NA,gen
Stephanopachys_linearis,ForestBeetles,TRUE,NA,Stephanopachys linearis,NA,gen
Stephanopachys_substriatus,ForestBeetles,TRUE,NA,Stephanopachys substriatus,NA,gen
Synchita_separanda,ForestBeetles,TRUE,NA,Synchita separanda,NA,gen
Tachyusida_gracilis,ForestBeetles,TRUE,NA,Tachyusida gracilis,NA,gen
Tenebrio_opacus,ForestBeetles,TRUE,NA,Tenebrio opacus,NA,gen
Teredus_cylindricus,ForestBeetles,TRUE,NA,Teredus cylindricus,NA,gen
Tragosoma_depsarium,ForestBeetles,TRUE,TRUE,Tragosoma depsarium,Vulnerable,gen
Upis_ceramboides,ForestBeetles,TRUE,TRUE,Upis ceramboides,Critically endangered,gen
Xylolaemus_fasciculosus,ForestBeetles,TRUE,NA,Xylolaemus fasciculosus,NA,gen
